mGluino [GeV], NLO+NLL Cross section [pb],Uncertainty (NLO + NLL) [%],NNLO+NNLL Cross section [pb],Uncertainty (NNLOapprox + NNLL) [%]
2690.0,3.24111e-05,48.0256,2.93e-05,33.52
2695.0,3.16719e-05,48.4099,2.85e-05,33.71
2700.0,3.08937e-05,48.4106,2.78e-05,33.92
2705.0,3.01877e-05,48.5346,2.71e-05,34.13
2710.0,2.94115e-05,48.6136,2.65e-05,34.34
2715.0,2.8704e-05,48.7651,2.58e-05,34.56
2720.0,2.80001e-05,48.9825,2.51e-05,34.77
2725.0,2.73257e-05,48.9448,2.45e-05,34.99
2730.0,2.66994e-05,49.2684,2.39e-05,35.22
2735.0,2.60266e-05,49.2354,2.33e-05,35.44
2740.0,2.53885e-05,49.5577,2.27e-05,35.67
2745.0,2.47946e-05,49.7102,2.21e-05,35.89
2750.0,2.41975e-05,49.786,2.16e-05,36.12
2755.0,2.36058e-05,49.9522,2.11e-05,36.35
2760.0,2.30057e-05,50.0547,2.05e-05,36.59
2765.0,2.24532e-05,49.9341,2e-05,36.82
2770.0,2.19257e-05,50.2056,1.95e-05,37.05
2775.0,2.14479e-05,50.253,1.9e-05,37.29
2780.0,2.09194e-05,50.5414,1.85e-05,37.53
2785.0,2.0365e-05,50.4094,1.81e-05,37.76
2790.0,1.99069e-05,50.9182,1.76e-05,38.0
2795.0,1.94274e-05,50.9756,1.72e-05,38.24
2800.0,1.89382e-05,50.9867,1.68e-05,38.48
2805.0,1.84485e-05,50.9972,1.63e-05,38.72
2810.0,1.80387e-05,51.2758,1.59e-05,38.95
2815.0,1.76254e-05,51.4727,1.55e-05,39.19
2820.0,1.71424e-05,51.5152,1.51e-05,39.43
2825.0,1.67221e-05,51.7923,1.48e-05,39.66
2830.0,1.63365e-05,51.7636,1.44e-05,39.9
2835.0,1.59378e-05,51.9408,1.4e-05,40.14
2840.0,1.56117e-05,52.2615,1.37e-05,40.38
2845.0,1.5223e-05,52.3444,1.33e-05,40.62
2850.0,1.48268e-05,52.4222,1.3e-05,40.86
2855.0,1.45152e-05,52.7209,1.27e-05,41.1
2860.0,1.41249e-05,52.7145,1.24e-05,41.34
2865.0,1.38168e-05,52.9801,1.21e-05,41.59
2870.0,1.34323e-05,52.9395,1.18e-05,41.83
2875.0,1.312e-05,53.1604,1.15e-05,42.07
2880.0,1.2819e-05,53.3483,1.12e-05,42.32
2885.0,1.25112e-05,53.5412,1.09e-05,42.56
2890.0,1.22184e-05,53.6652,1.06e-05,42.81
2895.0,1.19142e-05,53.7994,1.04e-05,43.05
2900.0,1.16193e-05,53.9263,1.01e-05,43.3
2905.0,1.13278e-05,54.003,9.86e-06,43.55
2910.0,1.10278e-05,54.0968,9.61e-06,43.79
2915.0,1.08166e-05,54.4471,9.37e-06,44.04
2920.0,1.05223e-05,54.46,9.14e-06,44.29
2925.0,1.0311e-05,54.7996,8.91e-06,44.54
2930.0,1.00202e-05,54.7577,8.69e-06,44.79
2935.0,9.78277e-06,54.9155,8.48e-06,45.04
2940.0,9.54703e-06,55.0446,8.27e-06,45.29
2945.0,9.31052e-06,55.2299,8.06e-06,45.54
2950.0,9.08571e-06,55.3383,7.86e-06,45.8
2955.0,8.86031e-06,55.4494,7.67e-06,46.05
2960.0,8.64342e-06,55.6635,7.48e-06,46.3
2965.0,8.42871e-06,55.7493,7.29e-06,46.56
2970.0,8.2237e-06,55.8355,7.11e-06,46.81
2975.0,8.02438e-06,56.0202,6.94e-06,47.07
2980.0,7.82636e-06,56.1602,6.77e-06,47.32
2985.0,7.63385e-06,56.2893,6.6e-06,47.58
2990.0,7.44713e-06,56.3994,6.44e-06,47.84
2995.0,7.26256e-06,56.4786,6.28e-06,48.09
3000.0,7.08299e-06,56.6394,6.12e-06,48.35
